"id","own_id","source_id","source","price","stock","created_at","updated_at"
"1","386844","https://www.trendyol.com/lego/kalp-susu-40638-9-yas-ve-uzeri-cocuklar-icin-model-yapim-seti-254-parca-p-655322849?boutiqueId=61&merchantId=335238","trendyol",1849000,0,"2025-02-15 18:58:04","2025-02-15 19:48:42"
"2","500326","https://www.trendyol.com/lego/30653-dc-comics-super-heroes-batman-1992-polybag-p-736287643?boutiqueId=61&merchantId=472994","trendyol",577000,0,"2025-02-15 18:58:04","2025-02-15 19:55:15"
"3","555750","https://www.trendyol.com/lego/kiraz-cicekleri-insa-edilebilen-cicekli-kutlama-hediyesi-40725-p-796161952?boutiqueId=61&merchantId=113590","trendyol",2013000,3,"2025-02-15 18:58:04","2025-02-15 19:55:17"
"4","769326","https://www.trendyol.com/lego/botanicals-mini-orkide-10343-yetiskinler-icin-dekoratif-cicek-yapim-seti-274-parca-p-883914730?boutiqueId=61&merchantId=780543","trendyol",3626000,0,"2025-02-15 18:58:04","2025-02-15 19:48:46"
"5","490908","https://www.trendyol.com/lego/kmx-iconic-lotus-cicekleri-40647-dekoratif-koleksiyonluk-ve-sergilenebilir-cicek-modeli-yapi-p-736286396?boutiqueId=61&merchantId=696219","trendyol",2217000,3,"2025-02-15 18:58:04","2025-02-15 19:55:19"
"6","271994","https://www.trendyol.com/lego/speed-champions-daha-hizli-daha-ofkeli-nissan-skyline-gt-r-r34-76917-319-parca-p-467015420?boutiqueId=61&merchantId=112426","trendyol",3187000,0,"2025-02-15 18:58:05","2025-02-15 19:48:49"
"7","3886","https://www.trendyol.com/lego/classic-orta-boy-yaratici-parcalar-yapim-kutusu-10696-cocuklar-icin-yapim-seti-484-parca-p-2018923?boutiqueId=61&merchantId=714842","trendyol",3661000,9,"2025-02-15 18:58:05","2025-02-15 19:55:22"
"8","161850","https://www.trendyol.com/lego/icons-orkide-10311-yetiskinler-icin-koleksiyonluk-dekoratif-yapim-seti-608-parca-p-303017450?boutiqueId=61&merchantId=111948","trendyol",7212000,0,"2025-02-15 18:58:05","2025-02-15 19:48:51"
"9","272528","https://www.trendyol.com/lego/60392-city-polis-motosikleti-araba-takibi-59-parca-5-yas-p-629428500?boutiqueId=677589&merchantId=968","trendyol",748000,0,"2025-02-15 18:58:05","2025-02-15 19:55:25"
"10","546342","https://www.trendyol.com/lego/hngds-icons-gul-buketi-10328-18-yas-ve-uzeri-icin-yapim-seti-822-parca-sdgnh-1038993-p-796341658?boutiqueId=61&merchantId=113590","trendyol",5594000,1,"2025-02-15 18:58:05","2025-02-15 19:55:27"
