"id","own_id","source_id","source","price","stock","rial_price","created_at","updated_at"
"1","386844","https://www.trendyol.com/lego/kalp-susu-40638-9-yas-ve-uzeri-cocuklar-icin-model-yapim-seti-254-parca-p-655322849?boutiqueId=61&merchantId=335238","trendyol",734,0,1849000,"2025-02-15 20:04:37","2025-02-15 20:07:09"
"2","500326","https://www.trendyol.com/lego/30653-dc-comics-super-heroes-batman-1992-polybag-p-736287643?boutiqueId=61&merchantId=472994","trendyol",229,5,577000,"2025-02-15 20:04:37","2025-02-15 20:07:10"
"3","555750","https://www.trendyol.com/lego/kiraz-cicekleri-insa-edilebilen-cicekli-kutlama-hediyesi-40725-p-796161952?boutiqueId=61&merchantId=113590","trendyol",799,5,2013000,"2025-02-15 20:04:37","2025-02-15 20:07:12"
"4","769326","https://www.trendyol.com/lego/botanicals-mini-orkide-10343-yetiskinler-icin-dekoratif-cicek-yapim-seti-274-parca-p-883914730?boutiqueId=61&merchantId=780543","trendyol",1439,0,3626000,"2025-02-15 20:04:37","2025-02-15 20:07:15"
"5","490908","https://www.trendyol.com/lego/kmx-iconic-lotus-cicekleri-40647-dekoratif-koleksiyonluk-ve-sergilenebilir-cicek-modeli-yapi-p-736286396?boutiqueId=61&merchantId=696219","trendyol",880,5,2217000,"2025-02-15 20:04:37","2025-02-15 20:07:17"
"6","271994","https://www.trendyol.com/lego/speed-champions-daha-hizli-daha-ofkeli-nissan-skyline-gt-r-r34-76917-319-parca-p-467015420?boutiqueId=61&merchantId=112426","trendyol",1265,0,3187000,"2025-02-15 20:04:37","2025-02-15 20:07:19"
"7","3886","https://www.trendyol.com/lego/classic-orta-boy-yaratici-parcalar-yapim-kutusu-10696-cocuklar-icin-yapim-seti-484-parca-p-2018923?boutiqueId=61&merchantId=714842","trendyol",1453,5,3661000,"2025-02-15 20:04:37","2025-02-15 20:07:21"
"8","161850","https://www.trendyol.com/lego/icons-orkide-10311-yetiskinler-icin-koleksiyonluk-dekoratif-yapim-seti-608-parca-p-303017450?boutiqueId=61&merchantId=111948","trendyol",2862,0,7212000,"2025-02-15 20:04:37","2025-02-15 20:07:22"
"9","272528","https://www.trendyol.com/lego/60392-city-polis-motosikleti-araba-takibi-59-parca-5-yas-p-629428500?boutiqueId=677589&merchantId=968","trendyol",297,5,748000,"2025-02-15 20:04:37","2025-02-15 20:07:24"
"10","546342","https://www.trendyol.com/lego/hngds-icons-gul-buketi-10328-18-yas-ve-uzeri-icin-yapim-seti-822-parca-sdgnh-1038993-p-796341658?boutiqueId=61&merchantId=113590","trendyol",2220,5,5594000,"2025-02-15 20:04:37","2025-02-15 20:07:26"
"11","387894","https://www.trendyol.com/lego/disney-yukari-bak-evi-43217-9-insa-edilebilir-yaratici-set-598-parca-p-679300230?boutiqueId=61&merchantId=431823","trendyol",3899,0,9825000,"2025-02-15 20:04:37","2025-02-15 20:07:28"
"12","740657","https://www.trendyol.com/lego/technic-mercedes-amg-f1-w14-e-performance-pull-back-42165-cocuklar-icin-yapim-seti-240-parca-p-811478693?boutiqueId=61&merchantId=472994","trendyol",1469,0,3701000,"2025-02-15 20:04:37","2025-02-15 20:07:30"
